Rideshare_Company,Order_Date,Customer_Id,Number_Of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Historical_Unit_Price,Pricing_Model,Supply_By_Demand,"Demand_Profile
(34%-66%-MED)"
HWCO,11/6/25,User_REG_058,87,41,Urban,Regular,87,4.36,Night,Economy,87,$387.11 ,$4.45 ,CUSTOM,47.13%,MEDIUM
HWCO,11/6/25,User_REG_059,53,33,Rural,Regular,40,3.8,Morning,Premium,139,$507.95 ,$3.65 ,CONTRACTED,62.26%,MEDIUM
HWCO,11/6/25,User_SIL_066,71,8,Suburban,Silver,57,3.68,Night,Economy,75,$249.30 ,$3.32 ,STANDARD,11.27%,HIGH
HWCO,11/6/25,User_GLD_050,32,5,Rural,Gold,80,3.55,Night,Economy,14,$45.92 ,$3.28 ,STANDARD,15.63%,HIGH
HWCO,11/6/25,User_GLD_051,91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,$424.61 ,$4.42 ,CUSTOM,32.97%,HIGH
HWCO,11/6/25,User_GLD_052,47,37,Suburban,Gold,64,3.75,Morning,Economy,31,$85.97 ,$2.77 ,CONTRACTED,78.72%,LOW
HWCO,11/6/25,User_SIL_067,23,13,Rural,Silver,42,4.55,Night,Economy,87,$328.97 ,$3.78 ,STANDARD,56.52%,MEDIUM
HWCO,11/6/25,User_REG_060,57,20,Rural,Regular,92,3.74,Morning,Economy,53,$172.63 ,$3.26 ,STANDARD,35.09%,MEDIUM
HWCO,11/6/25,User_SIL_068,48,17,Suburban,Silver,2,4.09,Evening,Economy,85,$261.94 ,$3.08 ,STANDARD,35.42%,MEDIUM
HWCO,11/6/25,User_GLD_053,22,5,Urban,Gold,39,4.92,Evening,Economy,56,$199.04 ,$3.55 ,STANDARD,22.73%,HIGH
HWCO,11/6/25,User_SIL_069,60,19,Urban,Silver,37,4.22,Evening,Economy,68,$232.28 ,$3.42 ,STANDARD,31.67%,HIGH
HWCO,11/6/25,User_REG_061,94,42,Rural,Regular,0,4.23,Morning,Premium,36,$185.31 ,$5.15 ,STANDARD,44.68%,MEDIUM
HWCO,11/6/25,User_SIL_070,43,6,Suburban,Silver,34,4.4,Morning,Premium,24,$153.76 ,$6.41 ,STANDARD,13.95%,HIGH
HWCO,11/6/25,User_REG_062,97,18,Suburban,Regular,53,4.25,Night,Premium,26,$126.48 ,$4.86 ,STANDARD,18.56%,HIGH
HWCO,11/6/25,User_SIL_071,47,17,Rural,Silver,7,4.8,Morning,Economy,173,$609.50 ,$3.52 ,STANDARD,36.17%,MEDIUM
HWCO,11/6/25,User_SIL_072,39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,$287.16 ,$3.30 ,CONTRACTED,71.79%,LOW
HWCO,11/6/25,User_REG_063,50,39,Suburban,Regular,94,3.81,Evening,Premium,139,$406.32 ,$2.92 ,CONTRACTED,78.00%,LOW
HWCO,11/6/25,User_REG_064,35,17,Urban,Regular,78,4.4,Evening,Premium,61,$249.04 ,$4.08 ,STANDARD,48.57%,MEDIUM
HWCO,11/6/25,User_REG_065,28,8,Suburban,Regular,69,3.86,Evening,Premium,175,$620.90 ,$3.55 ,CONTRACTED,28.57%,HIGH
HWCO,11/6/25,User_REG_066,51,32,Rural,Regular,98,4.44,Morning,Premium,51,$267.06 ,$5.24 ,STANDARD,62.75%,MEDIUM
HWCO,11/6/25,User_SIL_073,54,12,Suburban,Silver,84,4.98,Evening,Premium,172,$715.75 ,$4.16 ,STANDARD,22.22%,HIGH
HWCO,11/6/25,User_REG_067,65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,$430.39 ,$2.53 ,CONTRACTED,15.38%,HIGH
HWCO,11/6/25,User_GLD_054,61,26,Rural,Gold,21,3.85,Morning,Premium,126,$604.27 ,$4.80 ,STANDARD,42.62%,MEDIUM
HWCO,11/6/25,User_SIL_074,46,9,Suburban,Silver,67,4.22,Evening,Premium,47,$243.53 ,$5.18 ,STANDARD,19.57%,HIGH
HWCO,11/6/25,User_REG_068,73,50,Urban,Regular,7,4.22,Night,Economy,45,$176.21 ,$3.92 ,STANDARD,68.49%,LOW
HWCO,11/6/25,User_REG_069,86,49,Urban,Regular,99,3.51,Night,Economy,130,$471.48 ,$3.63 ,STANDARD,56.98%,MEDIUM
HWCO,11/7/25,User_GLD_055,75,7,Suburban,Gold,100,4.13,Morning,Economy,134,$453.38 ,$3.38 ,STANDARD,9.33%,HIGH
HWCO,11/7/25,User_SIL_075,39,29,Suburban,Silver,12,4.24,Evening,Economy,97,$251.11 ,$2.59 ,CONTRACTED,74.36%,LOW
HWCO,11/7/25,User_GLD_056,33,6,Rural,Gold,90,4.81,Night,Premium,139,$521.80 ,$3.75 ,CONTRACTED,18.18%,HIGH
HWCO,11/7/25,User_SIL_076,40,29,Suburban,Silver,6,4.94,Night,Premium,71,$346.49 ,$4.88 ,STANDARD,72.50%,LOW
HWCO,11/7/25,User_SIL_077,54,35,Suburban,Silver,66,4.4,Night,Economy,77,$234.07 ,$3.04 ,STANDARD,64.81%,MEDIUM
HWCO,11/7/25,User_GLD_057,53,26,Urban,Gold,54,4.6,Night,Premium,52,$184.02 ,$3.54 ,CONTRACTED,49.06%,MEDIUM
HWCO,11/7/25,User_SIL_078,81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,$554.89 ,$3.38 ,CONTRACTED,41.98%,MEDIUM
HWCO,11/7/25,User_REG_070,45,20,Urban,Regular,80,4.73,Morning,Economy,63,$192.62 ,$3.06 ,STANDARD,44.44%,MEDIUM
HWCO,11/7/25,User_SIL_079,20,9,Urban,Silver,77,3.91,Evening,Economy,89,$227.80 ,$2.56 ,CONTRACTED,45.00%,MEDIUM
HWCO,11/7/25,User_SIL_080,47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,$416.60 ,$3.50 ,CONTRACTED,46.81%,MEDIUM
HWCO,11/7/25,User_GLD_058,33,18,Urban,Gold,90,3.61,Evening,Premium,146,$671.71 ,$4.60 ,STANDARD,54.55%,MEDIUM
HWCO,11/7/25,User_SIL_081,78,57,Rural,Silver,5,4.82,Morning,Premium,127,$552.64 ,$4.35 ,STANDARD,73.08%,LOW
HWCO,11/7/25,User_SIL_082,26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,$321.37 ,$2.79 ,CONTRACTED,46.15%,MEDIUM
HWCO,11/7/25,User_REG_071,62,21,Rural,Regular,61,4.57,Night,Economy,56,$215.43 ,$3.85 ,STANDARD,33.87%,HIGH
HWCO,11/7/25,User_SIL_083,84,59,Suburban,Silver,67,4.27,Morning,Premium,164,$759.00 ,$4.63 ,STANDARD,70.24%,LOW
HWCO,11/7/25,User_REG_072,49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,$694.42 ,$4.42 ,STANDARD,16.33%,HIGH
HWCO,11/7/25,User_GLD_059,34,22,Suburban,Gold,34,3.64,Morning,Economy,176,$617.36 ,$3.51 ,STANDARD,64.71%,MEDIUM
HWCO,11/7/25,User_SIL_084,49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,$328.64 ,$4.76 ,STANDARD,61.22%,MEDIUM
HWCO,11/7/25,User_REG_073,83,50,Rural,Regular,7,3.66,Evening,Premium,100,$376.30 ,$3.76 ,CONTRACTED,60.24%,MEDIUM
HWCO,11/7/25,User_SIL_085,88,5,Urban,Silver,89,3.59,Night,Economy,27,$70.20 ,$2.60 ,CONTRACTED,5.68%,HIGH
HWCO,11/7/25,User_GLD_060,90,71,Suburban,Gold,88,3.84,Morning,Economy,167,$451.68 ,$2.70 ,CONTRACTED,78.89%,LOW
HWCO,11/7/25,User_SIL_086,65,5,Rural,Silver,24,3.54,Night,Economy,119,$301.40 ,$2.53 ,CONTRACTED,7.69%,HIGH
HWCO,11/7/25,User_SIL_087,73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,$153.40 ,$2.89 ,CONTRACTED,38.36%,MEDIUM
HWCO,11/7/25,User_SIL_088,85,62,Suburban,Silver,54,3.78,Morning,Economy,114,$339.66 ,$2.98 ,STANDARD,72.94%,LOW
HWCO,11/7/25,User_GLD_061,65,27,Rural,Gold,62,3.54,Night,Premium,162,$733.44 ,$4.53 ,STANDARD,41.54%,MEDIUM
HWCO,11/7/25,User_GLD_062,74,42,Urban,Gold,88,3.5,Evening,Economy,77,$203.84 ,$2.65 ,CONTRACTED,56.76%,MEDIUM
HWCO,11/7/25,User_GLD_063,41,7,Rural,Gold,68,4.3,Evening,Premium,66,$284.51 ,$4.31 ,STANDARD,17.07%,HIGH
HWCO,11/7/25,User_GLD_064,79,23,Urban,Gold,88,3.88,Night,Economy,164,$492.11 ,$3.00 ,STANDARD,29.11%,HIGH
HWCO,11/7/25,User_SIL_089,53,7,Urban,Silver,64,4.55,Night,Premium,10,$86.19 ,$8.62 ,CUSTOM,13.21%,HIGH
HWCO,11/7/25,User_SIL_090,35,14,Urban,Silver,74,5,Night,Premium,175,$727.88 ,$4.16 ,STANDARD,40.00%,MEDIUM
HWCO,11/7/25,User_GLD_065,53,40,Rural,Gold,79,3.66,Evening,Premium,30,$158.65 ,$5.29 ,STANDARD,75.47%,LOW
HWCO,11/7/25,User_SIL_091,36,23,Urban,Silver,42,4.66,Morning,Economy,14,$44.53 ,$3.18 ,STANDARD,63.89%,MEDIUM
HWCO,11/7/25,User_REG_074,38,25,Urban,Regular,2,4.24,Morning,Premium,128,$452.43 ,$3.53 ,CONTRACTED,65.79%,MEDIUM
HWCO,11/8/25,User_SIL_092,52,36,Rural,Silver,1,4.52,Morning,Premium,36,$152.64 ,$4.24 ,STANDARD,69.23%,LOW
HWCO,11/8/25,User_REG_075,91,64,Suburban,Regular,26,4.56,Morning,Premium,96,$420.22 ,$4.38 ,STANDARD,70.33%,LOW
HWCO,11/8/25,User_SIL_093,87,5,Urban,Silver,59,4.32,Night,Economy,42,$151.36 ,$3.60 ,STANDARD,5.75%,HIGH
HWCO,11/8/25,User_GLD_066,96,20,Suburban,Gold,88,3.6,Evening,Premium,71,$242.27 ,$3.41 ,CONTRACTED,20.83%,HIGH
HWCO,11/8/25,User_GLD_067,83,59,Urban,Gold,8,4.85,Morning,Economy,31,$119.05 ,$3.84 ,STANDARD,71.08%,LOW
HWCO,11/8/25,User_GLD_068,48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,$472.57 ,$2.72 ,CONTRACTED,47.92%,MEDIUM
HWCO,11/8/25,User_SIL_094,65,19,Suburban,Silver,24,4.59,Evening,Economy,96,$334.65 ,$3.49 ,STANDARD,29.23%,HIGH
HWCO,11/8/25,User_SIL_095,79,29,Suburban,Silver,0,4.86,Morning,Economy,127,$406.09 ,$3.20 ,STANDARD,36.71%,MEDIUM
HWCO,11/8/25,User_SIL_096,100,22,Suburban,Silver,45,4.23,Night,Premium,141,$551.37 ,$3.91 ,CONTRACTED,22.00%,HIGH
HWCO,11/8/25,User_SIL_097,73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,$534.02 ,$4.14 ,STANDARD,86.30%,LOW
HWCO,11/8/25,User_GLD_069,79,67,Rural,Gold,56,4.01,Evening,Premium,151,$501.24 ,$3.32 ,CONTRACTED,84.81%,LOW
HWCO,11/8/25,User_REG_076,88,55,Rural,Regular,56,4,Night,Premium,26,$159.61 ,$6.14 ,STANDARD,62.50%,MEDIUM
HWCO,11/8/25,User_SIL_098,76,34,Suburban,Silver,10,4.92,Morning,Economy,103,$359.80 ,$3.49 ,STANDARD,44.74%,MEDIUM
HWCO,11/8/25,User_SIL_099,49,30,Suburban,Silver,80,3.74,Night,Economy,85,$348.67 ,$4.10 ,STANDARD,61.22%,MEDIUM
HWCO,11/8/25,User_REG_077,100,64,Rural,Regular,7,4.89,Night,Premium,115,$490.50 ,$4.27 ,STANDARD,64.00%,MEDIUM
HWCO,11/8/25,User_GLD_070,87,26,Rural,Gold,63,4.2,Morning,Premium,118,$485.68 ,$4.12 ,STANDARD,29.89%,HIGH
HWCO,11/8/25,User_SIL_100,22,5,Rural,Silver,93,4.85,Evening,Economy,99,$424.93 ,$4.29 ,CUSTOM,22.73%,HIGH
HWCO,11/8/25,User_SIL_101,21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,$40.44 ,$3.37 ,STANDARD,52.38%,MEDIUM
HWCO,11/8/25,User_REG_078,93,57,Suburban,Regular,34,4.89,Morning,Premium,80,$258.42 ,$3.23 ,CONTRACTED,61.29%,MEDIUM
HWCO,11/8/25,User_GLD_071,28,15,Rural,Gold,90,4.25,Night,Premium,177,$511.93 ,$2.89 ,CONTRACTED,53.57%,MEDIUM
HWCO,11/8/25,User_SIL_102,97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,$441.75 ,$3.01 ,CONTRACTED,7.22%,HIGH
HWCO,11/8/25,User_SIL_103,48,12,Urban,Silver,51,4.63,Night,Premium,32,$175.52 ,$5.48 ,STANDARD,25.00%,HIGH
HWCO,11/8/25,User_SIL_104,70,37,Urban,Silver,10,3.65,Night,Premium,168,$658.58 ,$3.92 ,CONTRACTED,52.86%,MEDIUM
HWCO,11/8/25,User_SIL_105,78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,$299.29 ,$3.15 ,STANDARD,15.38%,HIGH
HWCO,11/8/25,User_REG_079,25,7,Rural,Regular,24,3.85,Evening,Premium,144,$494.80 ,$3.44 ,CONTRACTED,28.00%,HIGH
HWCO,11/8/25,User_GLD_072,24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,$223.52 ,$3.24 ,CONTRACTED,37.50%,MEDIUM
HWCO,11/8/25,User_SIL_106,92,37,Rural,Silver,7,4.92,Morning,Premium,103,$434.57 ,$4.22 ,STANDARD,40.22%,MEDIUM
HWCO,11/8/25,User_GLD_073,43,33,Rural,Gold,16,4.01,Morning,Premium,159,$630.43 ,$3.96 ,CONTRACTED,76.74%,LOW
HWCO,11/8/25,User_GLD_074,96,23,Urban,Gold,8,4.23,Morning,Premium,90,$445.13 ,$4.95 ,STANDARD,23.96%,HIGH
HWCO,11/8/25,User_GLD_075,88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,$361.99 ,$5.03 ,STANDARD,52.27%,MEDIUM
HWCO,11/8/25,User_REG_080,83,43,Suburban,Regular,20,3.59,Morning,Economy,63,$267.28 ,$4.24 ,CUSTOM,51.81%,MEDIUM
HWCO,11/8/25,User_REG_081,50,29,Urban,Regular,2,4.81,Morning,Economy,143,$518.95 ,$3.63 ,STANDARD,58.00%,MEDIUM
HWCO,11/8/25,User_REG_082,97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,$575.49 ,$3.53 ,STANDARD,77.32%,LOW
HWCO,11/9/25,User_REG_083,84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,$349.44 ,$4.06 ,STANDARD,28.57%,HIGH
HWCO,11/9/25,User_SIL_107,68,40,Suburban,Silver,58,4.64,Morning,Premium,68,$279.23 ,$4.11 ,STANDARD,58.82%,MEDIUM
HWCO,11/9/25,User_REG_084,77,30,Urban,Regular,99,4.7,Evening,Premium,179,$689.75 ,$3.85 ,CONTRACTED,38.96%,MEDIUM
HWCO,11/9/25,User_REG_085,82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,$88.76 ,$2.69 ,CONTRACTED,81.71%,LOW
HWCO,11/9/25,User_GLD_076,21,8,Suburban,Gold,37,3.71,Evening,Premium,171,$621.80 ,$3.64 ,CONTRACTED,38.10%,MEDIUM
HWCO,11/9/25,User_REG_086,75,24,Rural,Regular,44,3.79,Night,Premium,72,$307.62 ,$4.27 ,STANDARD,32.00%,HIGH
HWCO,11/9/25,User_GLD_077,61,9,Urban,Gold,74,3.98,Evening,Premium,32,$172.41 ,$5.39 ,STANDARD,14.75%,HIGH
HWCO,11/9/25,User_REG_087,90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,$444.25 ,$3.53 ,STANDARD,14.44%,HIGH
HWCO,11/9/25,User_REG_088,100,21,Suburban,Regular,20,3.52,Night,Premium,163,$556.90 ,$3.42 ,CONTRACTED,21.00%,HIGH
HWCO,11/9/25,User_GLD_078,93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,$355.32 ,$3.52 ,CONTRACTED,33.33%,HIGH
HWCO,11/9/25,User_SIL_108,92,14,Urban,Silver,57,3.73,Morning,Premium,133,$475.00 ,$3.57 ,CONTRACTED,15.22%,HIGH
HWCO,11/9/25,User_GLD_079,61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,$581.97 ,$3.27 ,CONTRACTED,19.67%,HIGH
HWCO,11/9/25,User_GLD_080,53,12,Suburban,Gold,79,3.6,Night,Premium,154,$663.44 ,$4.31 ,STANDARD,22.64%,HIGH
HWCO,11/9/25,User_REG_089,55,21,Urban,Regular,20,3.56,Night,Premium,134,$519.47 ,$3.88 ,CONTRACTED,38.18%,MEDIUM
HWCO,11/9/25,User_GLD_081,57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,$397.69 ,$3.55 ,CONTRACTED,78.95%,LOW
HWCO,11/9/25,User_SIL_109,34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,$388.11 ,$2.99 ,CONTRACTED,23.53%,HIGH
HWCO,11/9/25,User_SIL_110,50,11,Suburban,Silver,19,4.87,Morning,Economy,144,$591.10 ,$4.10 ,STANDARD,22.00%,HIGH
HWCO,11/9/25,User_SIL_111,35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,$586.80 ,$3.37 ,STANDARD,62.86%,MEDIUM
HWCO,11/9/25,User_REG_090,43,14,Suburban,Regular,1,3.53,Night,Premium,134,$648.91 ,$4.84 ,STANDARD,32.56%,HIGH
HWCO,11/9/25,User_SIL_112,50,25,Suburban,Silver,19,4.32,Night,Economy,176,$746.34 ,$4.24 ,CUSTOM,50.00%,MEDIUM
HWCO,11/9/25,User_REG_091,55,19,Urban,Regular,64,4.34,Morning,Premium,129,$555.10 ,$4.30 ,STANDARD,34.55%,MEDIUM
HWCO,11/9/25,User_SIL_113,93,67,Urban,Silver,21,4.88,Night,Premium,87,$417.91 ,$4.80 ,STANDARD,72.04%,LOW
HWCO,11/9/25,User_SIL_114,94,69,Urban,Silver,86,4.12,Morning,Premium,18,$97.80 ,$5.43 ,STANDARD,73.40%,LOW
HWCO,11/9/25,User_REG_092,70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,$193.09 ,$4.49 ,STANDARD,85.71%,LOW
HWCO,11/9/25,User_REG_093,36,25,Suburban,Regular,61,3.64,Night,Economy,132,$492.46 ,$3.73 ,STANDARD,69.44%,LOW
HWCO,11/9/25,User_SIL_115,37,9,Suburban,Silver,73,4.8,Morning,Economy,124,$408.82 ,$3.30 ,STANDARD,24.32%,HIGH
HWCO,11/9/25,User_GLD_082,68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,$364.16 ,$3.14 ,STANDARD,67.65%,LOW
HWCO,11/9/25,User_REG_094,77,15,Suburban,Regular,47,4.47,Morning,Economy,66,$228.64 ,$3.46 ,STANDARD,19.48%,HIGH
HWCO,11/9/25,User_SIL_116,27,12,Suburban,Silver,64,4.7,Evening,Economy,149,$667.95 ,$4.48 ,CUSTOM,44.44%,MEDIUM
HWCO,11/9/25,User_SIL_117,90,56,Suburban,Silver,61,4.38,Night,Premium,91,$410.34 ,$4.51 ,STANDARD,62.22%,MEDIUM
HWCO,11/9/25,User_REG_095,46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,$710.42 ,$4.20 ,CUSTOM,50.00%,MEDIUM
HWCO,11/9/25,User_REG_096,96,80,Urban,Regular,47,3.77,Morning,Economy,70,$177.20 ,$2.53 ,CONTRACTED,83.33%,LOW
HWCO,11/9/25,User_SIL_118,80,6,Rural,Silver,43,4.81,Night,Economy,24,$74.33 ,$3.10 ,STANDARD,7.50%,HIGH
HWCO,11/9/25,User_GLD_309,95,24,Suburban,Gold,79,3.5,Afternoon,Economy,130,$552.23 ,$4.25 ,CUSTOM,25.26%,HIGH
HWCO,11/9/25,User_SIL_367,63,31,Suburban,Silver,2,3.81,Evening,Premium,160,$632.56 ,$3.95 ,CONTRACTED,49.21%,MEDIUM
HWCO,11/10/25,User_SIL_119,80,31,Suburban,Silver,91,4.61,Evening,Premium,127,$392.30 ,$3.09 ,CONTRACTED,38.75%,MEDIUM
HWCO,11/10/25,User_SIL_120,64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,$168.61 ,$4.56 ,STANDARD,39.06%,MEDIUM
HWCO,11/10/25,User_SIL_121,57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,$587.26 ,$3.52 ,CONTRACTED,73.68%,LOW
HWCO,11/10/25,User_SIL_122,52,7,Rural,Silver,57,4.82,Night,Economy,180,$563.98 ,$3.13 ,STANDARD,13.46%,HIGH
HWCO,11/10/25,User_REG_097,69,56,Urban,Regular,73,4.02,Night,Premium,116,$352.35 ,$3.04 ,CONTRACTED,81.16%,LOW
HWCO,11/10/25,User_REG_098,67,54,Suburban,Regular,53,3.67,Morning,Economy,110,$415.31 ,$3.78 ,STANDARD,80.60%,LOW
HWCO,11/10/25,User_SIL_123,25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,$204.22 ,$3.40 ,CONTRACTED,28.00%,HIGH
HWCO,11/10/25,User_REG_099,80,35,Rural,Regular,29,4.49,Night,Economy,79,$319.65 ,$4.05 ,STANDARD,43.75%,MEDIUM
HWCO,11/10/25,User_SIL_124,73,6,Suburban,Silver,5,4.03,Night,Premium,71,$362.05 ,$5.10 ,STANDARD,8.22%,HIGH
HWCO,11/10/25,User_REG_100,24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,$387.48 ,$3.66 ,CONTRACTED,25.00%,HIGH
HWCO,11/10/25,User_GLD_083,37,14,Rural,Gold,18,4.36,Evening,Economy,85,$348.85 ,$4.10 ,STANDARD,37.84%,MEDIUM
HWCO,11/10/25,User_REG_101,27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,$732.30 ,$4.66 ,STANDARD,22.22%,HIGH
HWCO,11/10/25,User_REG_102,23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,$343.67 ,$2.58 ,CONTRACTED,47.83%,MEDIUM
HWCO,11/10/25,User_GLD_084,42,8,Rural,Gold,12,4.79,Morning,Premium,166,$599.72 ,$3.61 ,CONTRACTED,19.05%,HIGH
HWCO,11/10/25,User_SIL_125,74,39,Urban,Silver,11,3.65,Morning,Economy,173,$484.75 ,$2.80 ,CONTRACTED,52.70%,MEDIUM
HWCO,11/10/25,User_REG_103,68,30,Urban,Regular,28,4.69,Night,Premium,134,$581.15 ,$4.34 ,STANDARD,44.12%,MEDIUM
HWCO,11/10/25,User_SIL_126,59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,$603.37 ,$4.31 ,CUSTOM,15.25%,HIGH
HWCO,11/10/25,User_SIL_127,89,75,Rural,Silver,76,4.39,Evening,Economy,110,$369.85 ,$3.36 ,STANDARD,84.27%,LOW
HWCO,11/10/25,User_REG_104,81,35,Suburban,Regular,45,4.11,Night,Economy,174,$708.88 ,$4.07 ,STANDARD,43.21%,MEDIUM
HWCO,11/10/25,User_REG_105,33,8,Suburban,Regular,74,4.52,Morning,Premium,56,$205.84 ,$3.68 ,CONTRACTED,24.24%,HIGH
HWCO,11/10/25,User_GLD_085,75,28,Urban,Gold,49,4.46,Night,Economy,163,$684.56 ,$4.20 ,CUSTOM,37.33%,MEDIUM
HWCO,11/10/25,User_SIL_128,87,48,Suburban,Silver,95,4.73,Morning,Economy,162,$453.25 ,$2.80 ,CONTRACTED,55.17%,MEDIUM
HWCO,11/10/25,User_SIL_129,56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,$412.58 ,$3.17 ,CONTRACTED,66.07%,MEDIUM
HWCO,11/10/25,User_SIL_130,75,32,Urban,Silver,20,3.69,Evening,Premium,96,$440.44 ,$4.59 ,STANDARD,42.67%,MEDIUM
HWCO,11/10/25,User_SIL_131,99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,$241.64 ,$3.96 ,CONTRACTED,54.55%,MEDIUM
HWCO,11/10/25,User_REG_106,33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,$201.29 ,$4.03 ,CONTRACTED,48.48%,MEDIUM
HWCO,11/10/25,User_GLD_086,41,28,Rural,Gold,89,4.47,Evening,Premium,45,$220.05 ,$4.89 ,STANDARD,68.29%,LOW
HWCO,11/10/25,User_SIL_132,55,19,Suburban,Silver,74,3.51,Morning,Economy,173,$702.91 ,$4.06 ,STANDARD,34.55%,MEDIUM
HWCO,11/10/25,User_SIL_133,93,51,Rural,Silver,12,4.98,Morning,Premium,90,$431.42 ,$4.79 ,STANDARD,54.84%,MEDIUM
HWCO,11/10/25,User_SIL_134,54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,$466.86 ,$4.86 ,STANDARD,64.81%,MEDIUM
HWCO,11/10/25,User_GLD_087,34,20,Urban,Gold,21,4.15,Morning,Premium,158,$445.13 ,$2.82 ,CONTRACTED,58.82%,MEDIUM
HWCO,11/10/25,User_SIL_135,86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,$441.64 ,$3.51 ,CONTRACTED,20.93%,HIGH
HWCO,11/10/25,User_GLD_088,85,27,Suburban,Gold,8,4.11,Night,Premium,157,$669.52 ,$4.26 ,STANDARD,31.76%,HIGH
HWCO,11/11/25,User_REG_107,74,5,Suburban,Regular,80,3.63,Night,Economy,134,$354.39 ,$2.64 ,CONTRACTED,6.76%,HIGH
HWCO,11/11/25,User_GLD_089,63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,$489.71 ,$2.80 ,CONTRACTED,84.13%,LOW
HWCO,11/11/25,User_SIL_136,55,13,Suburban,Silver,45,3.71,Morning,Premium,40,$222.57 ,$5.56 ,STANDARD,23.64%,HIGH
HWCO,11/11/25,User_GLD_090,100,66,Suburban,Gold,27,3.53,Evening,Premium,106,$412.26 ,$3.89 ,CONTRACTED,66.00%,MEDIUM
HWCO,11/11/25,User_GLD_091,51,27,Urban,Gold,86,3.82,Evening,Premium,152,$472.22 ,$3.11 ,CONTRACTED,52.94%,MEDIUM
HWCO,11/11/25,User_SIL_137,37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,$179.94 ,$4.09 ,STANDARD,27.03%,HIGH
HWCO,11/11/25,User_GLD_092,99,71,Suburban,Gold,3,4.63,Morning,Premium,100,$308.91 ,$3.09 ,CONTRACTED,71.72%,LOW
HWCO,11/11/25,User_SIL_138,54,24,Rural,Silver,85,3.79,Evening,Economy,102,$306.31 ,$3.00 ,STANDARD,44.44%,MEDIUM
HWCO,11/11/25,User_GLD_093,30,7,Rural,Gold,57,4.27,Morning,Premium,69,$224.46 ,$3.25 ,CONTRACTED,23.33%,HIGH
HWCO,11/11/25,User_SIL_139,84,56,Urban,Silver,71,4.56,Evening,Premium,15,$101.07 ,$6.74 ,STANDARD,66.67%,MEDIUM
HWCO,11/11/25,User_SIL_140,49,14,Suburban,Silver,55,4.43,Morning,Premium,131,$633.50 ,$4.84 ,STANDARD,28.57%,HIGH
HWCO,11/11/25,User_SIL_141,86,10,Urban,Silver,98,4.8,Morning,Economy,18,$62.88 ,$3.49 ,STANDARD,11.63%,HIGH
HWCO,11/11/25,User_GLD_094,48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,$92.03 ,$3.17 ,STANDARD,50.00%,MEDIUM
HWCO,11/11/25,User_SIL_142,67,18,Urban,Silver,78,3.81,Morning,Premium,22,$106.74 ,$4.85 ,STANDARD,26.87%,HIGH
HWCO,11/11/25,User_GLD_095,100,16,Rural,Gold,96,3.65,Night,Premium,163,$560.67 ,$3.44 ,CONTRACTED,16.00%,HIGH
